CustomerId,Profile,State,Has_Email,Latitude,Longitude
2,,,1,,
3,,,1,,
4,,,1,,
5,,,1,,
6,,,1,,
8,,,1,,
9,,,1,,
10,,,1,,
11,,,1,,
12,,,1,,
13,,,1,,
14,,,0,,
15,,,1,,
16,,,1,,
17,,,0,,
18,,,1,,
19,,,1,,
20,,,0,,
21,,,0,,
23,,,1,,
24,,,0,,
25,,,1,,
26,,,1,,
27,,,1,,
28,,,1,,
29,,,1,,
30,,,1,,
31,,,1,,
32,,,1,,
33,,,1,,
34,,,1,,
35,,,1,,
36,,,1,,
38,,,1,,
39,,,1,,
40,,,1,,
42,,,1,,
43,,,1,,
44,,,1,,
49,,,1,,
50,,,1,,
51,,,1,,
53,,,1,,
54,,,1,,
55,,,1,,
57,,,0,,
59,,,1,,
61,,,1,,
62,,,0,,
64,,,1,,
65,,,0,,
66,,,1,,
67,,,1,,
68,,,0,,
69,,,1,,
70,,,1,,
71,,,1,,
72,,,1,,
73,,,1,,
74,,,1,,
76,,,1,,
77,,,1,,
78,,,0,,
79,,,1,,
80,,,1,,
81,,,0,,
82,,,0,,
85,,,1,,
87,,,1,,
89,,,0,,
90,,,1,,
91,,,1,,
92,,,0,,
93,,,1,,
94,,,1,,
96,,,1,,
97,,,1,,
99,,,1,,
100,,,1,,
101,,,1,,
102,,,1,,
105,,,1,,
106,,,1,,
107,,,1,,
110,,,1,,
111,,,1,,
112,,,1,,
113,,,1,,
115,,,1,,
116,,,1,,
117,,,0,,
118,,,1,,
119,,,1,,
120,,,0,,
121,,,1,,
123,,,1,,
124,,,0,,
126,,,1,,
127,,,1,,
128,,,1,,
129,,,1,,
130,,,1,,
131,,,1,,
132,,,1,,
133,,,1,,
134,,,1,,
138,,,0,,
139,,,1,,
141,,,1,,
142,,,1,,
143,,,1,,
144,,,0,,
145,,,1,,
146,,,1,,
148,,,1,,
149,,,0,,
150,,,1,,
151,,,0,,
152,,,1,,
153,,,1,,
154,,,1,,
155,,,1,,
157,,,1,,
158,,,1,,
161,,,1,,
162,,,1,,
163,,,1,,
164,,,1,,
165,,,1,,
166,,,1,,
167,,,1,,
168,,,1,,
169,,,1,,
170,,,0,,
171,,,1,,
172,,,1,,
173,,,1,,
174,,,1,,
175,,,1,,
176,,,1,,
177,,,1,,
178,,,1,,
180,,,1,,
181,,,1,,
182,,,1,,
183,,,0,,
184,,,1,,
185,,,1,,
186,,,1,,
188,,,1,,
189,,,1,,
190,,,1,,
191,,,1,,
192,,,1,,
194,,,1,,
195,,,0,,
196,,,1,,
